Date,Time,LTC,BTC,ETH
02/12/2020,13:00:00,79,10330,255
02/12/2020,13:15:00,79,10335,255
02/12/2020,13:30:00,79,10323,255
02/12/2020,13:45:00,79,10343,255
02/12/2020,14:00:00,78,10280,253
02/12/2020,14:15:00,78,10309,254
02/12/2020,14:30:00,79,10338,256
02/12/2020,14:45:00,79,10319,255
02/12/2020,15:00:00,78,10285,254
02/12/2020,15:15:00,78,10245,252
02/12/2020,15:30:00,78,10267,252
02/12/2020,15:45:00,78,10288,254
02/12/2020,16:00:00,79,10281,254
02/12/2020,16:15:00,79,10290,255
02/12/2020,16:30:00,79,10304,256
02/12/2020,16:45:00,79,10316,261
02/12/2020,17:00:00,79,10315,265
02/12/2020,17:15:00,79,10292,264
02/12/2020,17:30:00,79,10297,265
02/12/2020,17:45:00,79,10313,264
02/12/2020,18:00:00,79,10302,264
02/12/2020,18:15:00,80,10300,264
02/12/2020,18:30:00,81,10304,265
02/12/2020,18:45:00,82,10300,265
02/12/2020,19:00:00,82,10299,265
02/12/2020,19:15:00,81,10283,263
02/12/2020,19:30:00,82,10289,264
02/12/2020,19:45:00,81,10274,264
02/12/2020,20:00:00,81,10298,264
02/12/2020,20:15:00,81,10331,267
02/12/2020,20:30:00,81,10328,267
02/12/2020,20:45:00,81,10337,273
02/12/2020,21:00:00,82,10378,274
02/12/2020,21:15:00,81,10358,272
02/12/2020,21:30:00,81,10311,265
02/12/2020,21:45:00,81,10335,269
02/12/2020,22:00:00,81,10319,267
02/12/2020,22:15:00,81,10326,268
02/12/2020,22:30:00,81,10331,269
02/12/2020,22:45:00,81,10304,267
02/12/2020,23:00:00,81,10320,268
02/12/2020,23:15:00,81,10305,266
02/12/2020,23:30:00,80,10281,262
02/12/2020,23:45:00,81,10294,265
2/13/2020,00:00:00,81,10308,268
2/13/2020,00:15:00,81,10304,268
2/13/2020,00:30:00,82,10312,267
2/13/2020,00:45:00,82,10343,271
2/13/2020,01:00:00,82,10349,272
2/13/2020,01:15:00,82,10333,270
2/13/2020,01:30:00,82,10340,272
2/13/2020,01:45:00,82,10366,273
2/13/2020,02:00:00,82,10364,273
2/13/2020,02:15:00,82,10359,271
2/13/2020,02:30:00,84,10387,273
2/13/2020,02:45:00,83,10375,271
2/13/2020,03:00:00,83,10399,271
2/13/2020,03:15:00,83,10368,269
2/13/2020,03:30:00,83,10357,269
2/13/2020,03:45:00,82,10350,268
2/13/2020,04:00:00,83,10380,270
2/13/2020,04:15:00,82,10359,269
2/13/2020,04:30:00,82,10359,269
2/13/2020,04:45:00,83,10360,268
2/13/2020,05:00:00,83,10372,269
2/13/2020,05:15:00,82,10371,270
2/13/2020,05:30:00,83,10391,270
2/13/2020,05:45:00,83,10390,271
2/13/2020,06:00:00,83,10400,271
2/13/2020,06:15:00,83,10408,272
2/13/2020,06:30:00,83,10404,271
2/13/2020,06:45:00,83,10421,272
2/13/2020,07:00:00,83,10445,271
2/13/2020,07:15:00,82,10379,269
2/13/2020,07:30:00,82,10373,269
2/13/2020,07:45:00,80,10305,265
2/13/2020,08:00:00,77,10148,256
2/13/2020,08:15:00,78,10148,257
2/13/2020,08:30:00,79,10201,261
2/13/2020,08:45:00,79,10207,260
2/13/2020,09:00:00,78,10173,258
2/13/2020,09:15:00,78,10103,258
2/13/2020,09:30:00,78,10121,259
2/13/2020,09:45:00,78,10108,260
2/13/2020,10:00:00,78,10110,260
2/13/2020,10:15:00,79,10141,262
2/13/2020,10:30:00,79,10118,262
2/13/2020,10:45:00,79,10105,261
2/13/2020,11:00:00,79,10116,261
2/13/2020,11:15:00,78,10103,260
2/13/2020,11:30:00,78,10050,258
2/13/2020,11:45:00,79,10088,261
2/13/2020,12:00:00,79,10088,262
2/13/2020,12:15:00,79,10129,263
2/13/2020,12:30:00,79,10116,262
2/13/2020,12:45:00,80,10154,267
2/13/2020,13:00:00,80,10182,268
2/13/2020,13:15:00,81,10225,270
2/13/2020,13:30:00,82,10380,274
2/13/2020,13:45:00,80,10151,269
2/13/2020,14:00:00,80,10244,270
2/13/2020,14:15:00,81,10232,270
2/13/2020,14:30:00,81,10227,270
2/13/2020,14:45:00,80,10201,268
2/13/2020,15:00:00,80,10198,267
2/13/2020,15:15:00,80,10206,268
2/13/2020,15:30:00,81,10231,269
2/13/2020,15:45:00,80,10207,269
2/13/2020,16:00:00,80,10205,269
2/13/2020,16:15:00,80,10194,268
2/13/2020,16:30:00,80,10141,267
2/13/2020,16:45:00,79,10111,265
2/13/2020,17:00:00,79,10094,264
2/13/2020,17:15:00,80,10106,265
2/13/2020,17:30:00,80,10161,268
2/13/2020,17:45:00,80,10128,266
2/13/2020,18:00:00,81,10166,267
2/13/2020,18:15:00,81,10163,267
2/13/2020,18:30:00,81,10146,267
2/13/2020,18:45:00,80,10139,265
2/13/2020,19:00:00,81,10168,267
2/13/2020,19:15:00,81,10205,268
2/13/2020,19:30:00,81,10191,268
2/13/2020,19:45:00,81,10192,267
2/13/2020,20:00:00,81,10182,266
2/13/2020,20:15:00,80,10167,265
2/13/2020,20:30:00,80,10168,265
2/13/2020,20:45:00,80,10167,265
2/13/2020,21:00:00,79,10127,262
2/13/2020,21:15:00,80,10148,263
2/13/2020,21:30:00,80,10127,261
2/13/2020,21:45:00,79,10126,261
2/13/2020,22:00:00,79,10139,262
2/13/2020,22:15:00,79,10157,263
2/13/2020,22:30:00,79,10152,264
2/13/2020,22:45:00,79,10159,265
2/13/2020,23:00:00,79,10175,265
2/13/2020,23:15:00,79,10177,266
2/13/2020,23:30:00,80,10171,266
2/13/2020,23:45:00,80,10178,267
2/14/2020,00:00:00,80,10167,266
2/14/2020,00:15:00,79,10155,265
2/14/2020,00:30:00,79,10142,265
2/14/2020,00:45:00,80,10175,267
2/14/2020,01:00:00,80,10217,268
2/14/2020,01:15:00,80,10186,267
2/14/2020,01:30:00,80,10174,266
2/14/2020,01:45:00,80,10178,266
2/14/2020,02:00:00,80,10193,267
2/14/2020,02:15:00,80,10191,266
2/14/2020,02:30:00,80,10190,266
2/14/2020,02:45:00,81,10210,267
2/14/2020,03:00:00,81,10209,266
2/14/2020,03:15:00,81,10226,266
2/14/2020,03:30:00,80,10170,264
2/14/2020,03:45:00,81,10201,265
2/14/2020,04:00:00,80,10176,264
2/14/2020,04:15:00,80,10162,264
2/14/2020,04:30:00,80,10176,265
2/14/2020,04:45:00,80,10166,265
2/14/2020,05:00:00,80,10159,265
2/14/2020,05:15:00,79,10129,263
2/14/2020,05:30:00,80,10137,263
2/14/2020,05:45:00,80,10102,263
2/14/2020,06:00:00,79,10103,262
2/14/2020,06:15:00,79,10115,262
2/14/2020,06:30:00,80,10130,262
2/14/2020,06:45:00,80,10132,263
2/14/2020,07:00:00,79,10109,262
2/14/2020,07:15:00,79,10091,261
2/14/2020,07:30:00,79,10055,260
2/14/2020,07:45:00,79,10056,261
2/14/2020,08:00:00,80,10102,263
2/14/2020,08:15:00,79,10073,263
2/14/2020,08:30:00,80,10077,263
2/14/2020,08:45:00,80,10091,264
2/14/2020,09:00:00,80,10100,265
2/14/2020,09:15:00,81,10130,266
2/14/2020,09:30:00,81,10133,266
2/14/2020,09:45:00,81,10150,266
2/14/2020,10:00:00,81,10170,267
2/14/2020,10:15:00,81,10178,270
2/14/2020,10:30:00,82,10211,270
2/14/2020,10:45:00,81,10195,269
2/14/2020,11:00:00,81,10176,268
2/14/2020,11:15:00,81,10200,269
2/14/2020,11:30:00,81,10213,269
2/14/2020,11:45:00,81,10214,269
2/14/2020,12:00:00,82,10226,270
2/14/2020,12:15:00,81,10187,268
2/14/2020,12:30:00,81,10209,269
2/14/2020,12:45:00,81,10204,269
2/14/2020,13:00:00,81,10209,269
2/14/2020,13:15:00,81,10195,268
2/14/2020,13:30:00,81,10185,268
2/14/2020,13:45:00,81,10194,269
2/14/2020,14:00:00,81,10232,271
2/14/2020,14:15:00,82,10251,272
2/14/2020,14:30:00,81,10212,271
2/14/2020,14:45:00,81,10181,270
2/14/2020,15:00:00,81,10221,272
2/14/2020,15:15:00,81,10207,271
2/14/2020,15:30:00,81,10210,272
2/14/2020,15:45:00,81,10202,272
2/14/2020,16:00:00,81,10217,272
2/14/2020,16:15:00,81,10255,275
2/14/2020,16:30:00,81,10217,274
2/14/2020,16:45:00,81,10236,277
2/14/2020,17:00:00,81,10215,275
2/14/2020,17:15:00,81,10225,275
2/14/2020,17:30:00,81,10223,277
2/14/2020,17:45:00,81,10237,278
2/14/2020,18:00:00,82,10280,282
2/14/2020,18:15:00,82,10262,281
2/14/2020,18:30:00,82,10276,281
2/14/2020,18:45:00,82,10315,283
2/14/2020,19:00:00,82,10309,282
2/14/2020,19:15:00,82,10295,281
2/14/2020,19:30:00,82,10293,280
2/14/2020,19:45:00,82,10305,282
2/14/2020,20:00:00,82,10321,281
2/14/2020,20:15:00,82,10317,281
2/14/2020,20:30:00,82,10322,280
2/14/2020,20:45:00,82,10314,282
2/14/2020,21:00:00,82,10314,282
2/14/2020,21:15:00,82,10314,282
2/14/2020,21:30:00,82,10314,282
2/14/2020,21:45:00,82,10314,282
2/14/2020,22:00:00,82,10314,282
2/14/2020,22:15:00,82,10314,282
2/14/2020,22:30:00,82,10314,282
2/14/2020,22:45:00,82,10314,282
2/14/2020,23:00:00,82,10314,282
2/14/2020,23:15:00,82,10314,282
2/14/2020,23:30:00,82,10314,282
2/14/2020,23:45:00,82,10314,282
